end_of_interval	any
1987-10-01 00:00:00	441.721081450735
1987-11-01 00:00:00	444.021021667273
1987-12-01 00:00:00	442.574067870818
1988-01-01 00:00:00	446.245878258287
1988-02-01 00:00:00	449.329400493613
1988-03-01 00:00:00	439.013715081517
1988-04-01 00:00:00	410.114557711569
1988-05-01 00:00:00	375.355605106076
1988-06-01 00:00:00	355.545900864889
1988-07-01 00:00:00	362.805048340897
1988-08-01 00:00:00	392.119043441739
1988-09-01 00:00:00	423.982481290433
1988-10-01 00:00:00	441.721081450735
1988-11-01 00:00:00	444.021021667273
1988-12-01 00:00:00	442.574067870818
1989-01-01 00:00:00	446.245878258287
1989-02-01 00:00:00	449.329400493613
1989-03-01 00:00:00	439.013715081517
1989-04-01 00:00:00	410.114557711569
1989-05-01 00:00:00	375.355605106076
1989-06-01 00:00:00	355.545900864889
1989-07-01 00:00:00	362.805048340897
1989-08-01 00:00:00	392.119043441739
1989-09-01 00:00:00	423.982481290433
1989-10-01 00:00:00	441.721081450735
1989-11-01 00:00:00	444.021021667273
1989-12-01 00:00:00	442.574067870818
1990-01-01 00:00:00	446.245878258287
1990-02-01 00:00:00	449.329400493613
1990-03-01 00:00:00	439.013715081517
1990-04-01 00:00:00	410.114557711569
1990-05-01 00:00:00	375.355605106076
1990-06-01 00:00:00	355.545900864889
1990-07-01 00:00:00	362.805048340897
1990-08-01 00:00:00	392.119043441739
1990-09-01 00:00:00	423.982481290433
1990-10-01 00:00:00	441.721081450735
1990-11-01 00:00:00	444.021021667273
1990-12-01 00:00:00	442.574067870818
1991-01-01 00:00:00	446.245878258287
1991-02-01 00:00:00	449.329400493613
1991-03-01 00:00:00	439.013715081517
1991-04-01 00:00:00	410.114557711569
1991-05-01 00:00:00	375.355605106076
1991-06-01 00:00:00	355.545900864889
1991-07-01 00:00:00	362.805048340897
1991-08-01 00:00:00	392.119043441739
1991-09-01 00:00:00	423.982481290433
1991-10-01 00:00:00	441.721081450735
1991-11-01 00:00:00	444.021021667273
1991-12-01 00:00:00	442.574067870818
1992-01-01 00:00:00	446.245878258287
1992-02-01 00:00:00	449.329400493613
1992-03-01 00:00:00	439.013715081517
1992-04-01 00:00:00	410.114557711569
1992-05-01 00:00:00	375.355605106076
1992-06-01 00:00:00	355.545900864889
1992-07-01 00:00:00	362.805048340897
1992-08-01 00:00:00	392.119043441739
1992-09-01 00:00:00	423.982481290433
1992-10-01 00:00:00	441.721081450735
1992-11-01 00:00:00	444.021021667273
1992-12-01 00:00:00	442.574067870818
1993-01-01 00:00:00	446.245878258287
1993-02-01 00:00:00	449.329400493613
1993-03-01 00:00:00	439.013715081517
1993-04-01 00:00:00	410.114557711569
1993-05-01 00:00:00	375.355605106076
1993-06-01 00:00:00	355.545900864889
1993-07-01 00:00:00	362.805048340897
1993-08-01 00:00:00	392.119043441739
1993-09-01 00:00:00	423.982481290433
1993-10-01 00:00:00	441.721081450735
1993-11-01 00:00:00	444.021021667273
1993-12-01 00:00:00	442.574067870818
1994-01-01 00:00:00	446.245878258287
1994-02-01 00:00:00	449.329400493613
1994-03-01 00:00:00	439.013715081517
1994-04-01 00:00:00	410.114557711569
1994-05-01 00:00:00	375.355605106076
1994-06-01 00:00:00	355.545900864889
1994-07-01 00:00:00	362.805048340897
1994-08-01 00:00:00	392.119043441739
